week,position,performer,song,instance,previous_position,peak_position,weeks_on_chart
2018-01-06,42,Nat King Cole,The Christmas Song (Merry Christmas To You),6,37,38,11
2018-01-06,43,Eminem Featuring Ed Sheeran,River,1,11,43,4
2018-01-06,44,Marshmello Featuring Khalid,Silence,1,39,30,19
2018-01-06,45,Thomas Rhett,Marry Me,1,63,45,3
2018-01-06,46,Burl Ives,A Holly Jolly Christmas,2,38,41,4
2018-01-06,47,French Montana Featuring Swae Lee,Unforgettable,1,47,3,37
2018-01-06,48,P!nk,What About Us,1,62,13,20
2018-01-06,49,N*E*R*D & Rihanna,Lemon,1,46,49,7
2018-01-06,50,Post Malone,Candy Paint,1,58,50,9
2018-01-06,51,Kodak Black Featuring XXXTENTACION,Roll In Peace,1,51,51,18
2018-01-06,52,Ozuna x Cardi B,La Modelo,1,-,52,1
2018-01-06,53,Offset & Metro Boomin,Ric Flair Drip,1,45,44,8
2018-01-06,54,MAX Featuring gnash,Lights Down Low,1,57,54,11
2018-01-06,55,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,2,52,53,13
2018-01-06,56,Brett Young,Like I Loved You,1,56,54,13
2018-01-06,57,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,1,53,46,15
2018-01-06,58,LANCO,Greatest Love Story,1,60,45,16
2018-01-06,59,YBN Nahmir,Rubbin Off The Paint,1,55,46,7
2018-01-06,60,Macklemore Featuring Kesha,Good Old Days,2,61,60,9
2018-01-06,61,Taylor Swift,...Ready For It?,1,59,4,16
2018-01-06,62,Russell Dickerson,Yours,1,66,62,10
2018-01-06,63,Blake Shelton,I'll Name The Dogs,1,65,58,15
2018-01-06,64,Tay-K,The Race,1,68,44,19
2018-01-06,65,Huncho Jack Featuring Takeoff,Eye 2 Eye,1,-,65,1
2018-01-06,66,Taylor Swift,Look What You Made Me Do,1,76,1,18
2018-01-06,67,6ix9ine,Kooda,1,54,50,3
2018-01-06,68,Huncho Jack,Modern Slavery,1,-,68,1
2018-01-06,69,Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley),1,-,69,1
2018-01-06,70,Kodak Black Featuring Lil Wayne,Codeine Dreaming,1,64,52,4
2018-01-06,71,Huncho Jack,Black & Chinese,1,-,71,1
2018-01-06,72,Eric Church,Round Here Buzz,1,70,68,13
2018-01-06,73,Luke Bryan,Light It Up,1,72,57,17
2018-01-06,74,Luis Fonsi & Demi Lovato,Echame La Culpa,1,75,47,5
2018-01-06,75,Lil Xan,Betrayed,1,77,67,6
2018-01-06,76,Chris Young,Losing Sleep,1,78,63,13
2018-01-06,77,YoungBoy Never Broke Again,No Smoke,2,80,77,3
2018-01-06,78,Demi Lovato,Tell Me You Love Me,2,73,53,4
2018-01-06,79,Walker Hayes,You Broke Up With Me,2,83,79,9
2018-01-06,80,Quavo & Lil Yachty,Ice Tray,1,82,62,3
2018-01-06,81,Maren Morris,I Could Use A Love Song,2,81,75,18
2018-01-06,82,BTS Featuring Desiigner,MIC Drop,1,79,28,4
2018-01-06,83,Huncho Jack Featuring Offset,Dubai Shit,1,-,83,1
2018-01-06,84,Lil Baby,My Dawg,1,71,77,2
2018-01-06,85,Famous Dex Featuring A$AP Rocky,Pick It Up,1,74,73,6
2018-01-06,86,Old Dominion,Written In The Sand,1,89,86,5
2018-01-06,87,Huncho Jack,Huncho Jack,1,-,87,1
2018-01-06,88,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,2,-,88,3
2018-01-06,89,Scotty McCreery,Five More Minutes,1,96,89,3
2018-01-06,90,Huncho Jack,Motorcycle Patches,1,-,90,1
2018-01-06,91,Becky G Featuring Bad Bunny,Mayores,2,86,74,9
2018-01-06,92,Huncho Jack,Saint,1,-,92,1
2018-01-06,93,Eminem Featuring Beyonce,Walk On Water,1,87,14,4
2018-01-06,94,Migos,Stir Fry,1,-,94,1
2018-01-06,95,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,1,90,90,2
2018-01-06,96,XXXTENTACION Featuring Trippie Redd,F**k Love,1,91,41,17
2018-01-06,97,Kelsea Ballerini,Legends,2,100,97,3
2018-01-06,98,Niall Horan,Too Much To Ask,3,97,87,9
2018-01-06,99,Zayn Featuring Sia,Dusk Till Dawn,1,88,44,15
2018-01-06,100,Yo Gotti,Juice,1,93,93,3
2018-01-13,1,Ed Sheeran,Perfect,2,1,1,18
2018-01-13,2,Camila Cabello Featuring Young Thug,Havana,2,3,2,20
2018-01-13,3,Post Malone Featuring 21 Savage,Rockstar,1,2,1,15
2018-01-13,4,Imagine Dragons,Thunder,1,5,4,35
2018-01-13,5,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,1,4,4,16
2018-01-13,6,Halsey,Bad At Love,1,9,6,17
2018-01-13,7,Sam Smith,Too Good At Goodbyes,1,8,4,16
2018-01-13,8,"Migos, Nicki Minaj & Cardi B",MotorSport,1,7,6,9
2018-01-13,9,Lil Pump,Gucci Gang,1,6,3,16
2018-01-13,10,Cardi B,Bodak Yellow (Money Moves),1,10,1,26
2018-01-13,11,Dua Lipa,New Rules,1,12,11,22
2018-01-13,12,Portugal. The Man,Feel It Still,1,23,4,28
2018-01-13,13,Ed Sheeran,Shape Of You,1,19,1,51
2018-01-13,14,Kendrick Lamar Featuring Zacari,Love.,2,11,11,27
2018-01-13,15,Demi Lovato,Sorry Not Sorry,1,20,6,25
2018-01-13,16,Imagine Dragons,Believer,1,25,4,47
2018-01-13,17,G-Eazy & Halsey,Him & I,1,24,17,4
2018-01-13,18,NF,Let You Down,1,17,16,11
2018-01-13,19,Cardi B Featuring 21 Savage,Bartier Cardi,1,14,14,2
2018-01-13,20,6ix9ine,Gummo,1,15,12,7
2018-01-13,21,Maroon 5 Featuring SZA,What Lovers Do,1,21,9,18
2018-01-13,22,Khalid,Young Dumb & Broke,1,18,18,24
2018-01-13,23,Post Malone,I Fall Apart,1,16,16,14
2018-01-13,24,Bebe Rexha & Florida Georgia Line,Meant To Be,1,26,24,10
2018-01-13,25,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,30,1,50
2018-01-13,26,Gucci Mane Featuring Migos,I Get The Bag,1,22,11,19
2018-01-13,27,Charlie Puth,How Long,1,27,26,12
2018-01-13,28,Selena Gomez X Marshmello,Wolves,1,29,20,10
2018-01-13,29,21 Savage,Bank Account,1,28,12,25
2018-01-13,30,J Balvin & Willy William Featuring Beyonce,Mi Gente,1,32,3,26
2018-01-13,31,A$AP Ferg Featuring Nicki Minaj,Plain Jane,1,31,31,14
2018-01-13,32,Bruno Mars,That's What I Like,2,37,1,50
2018-01-13,33,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,1,34,3,35
2018-01-13,34,Charlie Puth,Attention,1,39,5,36
2018-01-13,35,Bruno Mars & Cardi B,Finesse,1,-,35,1
2018-01-13,36,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,1,35,24,18
2018-01-13,37,SZA,The Weekend,1,33,33,22
2018-01-13,38,Miguel Featuring Travis Scott,Sky Walker,2,41,35,14
2018-01-13,39,Taylor Swift Featuring Ed Sheeran & Future,End Game,1,40,39,6
2018-01-13,40,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,2,55,40,14
2018-01-13,41,Marshmello Featuring Khalid,Silence,1,44,30,20
2018-01-13,42,French Montana Featuring Swae Lee,Unforgettable,1,47,3,38
2018-01-13,43,P!nk,What About Us,1,48,13,21
2018-01-13,44,Thomas Rhett,Marry Me,1,45,44,4
2018-01-13,45,Eminem Featuring Ed Sheeran,River,1,43,43,5
2018-01-13,46,Brett Young,Like I Loved You,1,56,46,14
2018-01-13,47,Kodak Black Featuring XXXTENTACION,Roll In Peace,1,51,47,19
2018-01-13,48,N*E*R*D & Rihanna,Lemon,1,49,48,8
2018-01-13,49,Offset & Metro Boomin,Ric Flair Drip,1,53,44,9
2018-01-13,50,MAX Featuring gnash,Lights Down Low,1,54,50,12
2018-01-13,51,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,1,57,46,16
2018-01-13,52,Russell Dickerson,Yours,1,62,52,11
2018-01-13,53,LANCO,Greatest Love Story,1,58,45,17
2018-01-13,54,Macklemore Featuring Kesha,Good Old Days,2,60,54,10
2018-01-13,55,Taylor Swift,Look What You Made Me Do,1,66,1,19
2018-01-13,56,Blake Shelton,I'll Name The Dogs,1,63,56,16
2018-01-13,57,Eric Church,Round Here Buzz,1,72,57,14
2018-01-13,58,Taylor Swift,...Ready For It?,1,61,4,17
2018-01-13,59,Post Malone,Candy Paint,1,50,50,10
2018-01-13,60,YBN Nahmir,Rubbin Off The Paint,1,59,46,8
2018-01-13,61,Ozuna x Cardi B,La Modelo,1,52,52,2
2018-01-13,62,Maren Morris,I Could Use A Love Song,2,81,62,19
2018-01-13,63,Chris Young,Losing Sleep,1,76,63,14
2018-01-13,64,Luis Fonsi & Demi Lovato,Echame La Culpa,1,74,47,6
2018-01-13,65,Kodak Black Featuring Lil Wayne,Codeine Dreaming,1,70,52,5
2018-01-13,66,BTS Featuring Desiigner,MIC Drop,1,82,28,5
2018-01-13,67,Walker Hayes,You Broke Up With Me,2,79,67,10
2018-01-13,68,6ix9ine,Kooda,1,67,50,4
2018-01-13,69,Luke Bryan,Light It Up,1,73,57,18
2018-01-13,70,Old Dominion,Written In The Sand,1,86,70,6
2018-01-13,71,Camila Cabello,Never Be The Same,2,-,71,2
2018-01-13,72,Demi Lovato,Tell Me You Love Me,2,78,53,5
2018-01-13,73,YoungBoy Never Broke Again,No Smoke,2,77,73,4
2018-01-13,74,Quavo & Lil Yachty,Ice Tray,1,80,62,4
2018-01-13,75,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,2,88,75,4
2018-01-13,76,Lil Xan,Betrayed,1,75,67,7
2018-01-13,77,Famous Dex Featuring A$AP Rocky,Pick It Up,1,85,73,7
2018-01-13,78,Scotty McCreery,Five More Minutes,1,89,78,4
2018-01-13,79,Kelsea Ballerini,Legends,2,97,79,4
2018-01-13,80,WALK THE MOON,One Foot,1,-,80,1
2018-01-13,81,Becky G Featuring Bad Bunny,Mayores,2,91,74,10
2018-01-13,82,Kane Brown,Heaven,2,-,82,2
2018-01-13,83,Keala Settle & The Greatest Showman Ensemble,This Is Me,1,-,83,1
2018-01-13,84,Lil Baby,My Dawg,1,84,77,3
2018-01-13,85,Zac Efron & Zendaya,Rewrite The Stars,1,-,85,1
2018-01-13,86,Niall Horan,Too Much To Ask,3,98,86,10
2018-01-13,87,Devin Dawson,All On Me,3,-,87,5
2018-01-13,88,Loren Allred,Never Enough,1,-,88,1
2018-01-13,89,Migos,Stir Fry,1,94,89,2
2018-01-13,90,Yo Gotti,Juice,1,100,90,4
2018-01-13,91,Chris Stapleton,Broken Halos,4,-,91,6
2018-01-13,92,Maluma X Nego do Borel,Corazon,1,-,92,1
2018-01-13,93,Keith Urban,Female,2,-,93,2
2018-01-13,94,Zayn Featuring Sia,Dusk Till Dawn,1,99,44,16
2018-01-13,95,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,1,-,95,1
2018-01-13,96,Tank,When We,2,-,96,5
2018-01-13,97,NAV Featuring Lil Uzi Vert,Wanted You,2,-,97,6
2018-01-13,98,XXXTENTACION Featuring Trippie Redd,F**k Love,1,96,41,18
2018-01-13,99,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,1,95,90,3
2018-01-13,100,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Best Friend,1,-,100,1
2018-01-20,1,Ed Sheeran,Perfect,2,1,1,19
2018-01-20,2,Camila Cabello Featuring Young Thug,Havana,2,2,2,21
2018-01-20,3,Bruno Mars & Cardi B,Finesse,1,35,3,2
2018-01-20,4,Post Malone Featuring 21 Savage,Rockstar,1,3,1,16
2018-01-20,5,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,1,5,4,17
2018-01-20,6,Imagine Dragons,Thunder,1,4,4,36
2018-01-20,7,Halsey,Bad At Love,1,6,6,18
2018-01-20,8,Sam Smith,Too Good At Goodbyes,1,7,4,17
2018-01-20,9,Justin Timberlake,Filthy,1,-,9,1
2018-01-20,10,"Migos, Nicki Minaj & Cardi B",MotorSport,1,8,6,10
2018-01-20,11,Dua Lipa,New Rules,1,11,11,23
2018-01-20,12,Lil Pump,Gucci Gang,1,9,3,17
2018-01-20,13,Kendrick Lamar Featuring Zacari,Love.,2,14,11,28
2018-01-20,14,Cardi B Featuring 21 Savage,Bartier Cardi,1,19,14,3
2018-01-20,15,NF,Let You Down,1,18,15,12
2018-01-20,16,G-Eazy & Halsey,Him & I,1,17,16,5
2018-01-20,17,Cardi B,Bodak Yellow (Money Moves),1,10,1,27
2018-01-20,18,Bebe Rexha & Florida Georgia Line,Meant To Be,1,24,18,11
2018-01-20,19,6ix9ine,Gummo,1,20,12,8
2018-01-20,20,Portugal. The Man,Feel It Still,1,12,4,29
2018-01-20,21,Demi Lovato,Sorry Not Sorry,1,15,6,26
2018-01-20,22,Ed Sheeran,Shape Of You,1,13,1,52
2018-01-20,23,Charlie Puth,How Long,1,27,23,13
2018-01-20,24,Selena Gomez X Marshmello,Wolves,1,28,20,11
2018-01-20,25,Gucci Mane Featuring Migos,I Get The Bag,1,26,11,20
2018-01-20,26,Post Malone,I Fall Apart,1,23,16,15
2018-01-20,27,Maroon 5 Featuring SZA,What Lovers Do,1,21,9,19
2018-01-20,28,Khalid,Young Dumb & Broke,1,22,18,25
2018-01-20,29,A$AP Ferg Featuring Nicki Minaj,Plain Jane,1,31,29,15
2018-01-20,30,Imagine Dragons,Believer,1,16,4,48
2018-01-20,31,Miguel Featuring Travis Scott,Sky Walker,2,38,31,15
2018-01-20,32,Eminem Featuring Ed Sheeran,River,1,45,32,6
2018-01-20,33,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,1,36,24,19
2018-01-20,34,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,1,25,1,51
2018-01-20,35,J Balvin & Willy William Featuring Beyonce,Mi Gente,1,30,3,27
2018-01-20,36,Taylor Swift Featuring Ed Sheeran & Future,End Game,1,39,36,7
2018-01-20,37,21 Savage,Bank Account,1,29,12,26
2018-01-20,38,Bruno Mars,That's What I Like,2,32,1,51
2018-01-20,39,Thomas Rhett,Marry Me,1,44,39,5
2018-01-20,40,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,2,40,40,15
2018-01-20,41,Charlie Puth,Attention,1,34,5,37
2018-01-20,42,SZA,The Weekend,1,37,33,23
2018-01-20,43,Kendrick Lamar & SZA,All The Stars,1,-,43,1
2018-01-20,44,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,1,33,3,36
2018-01-20,45,Kodak Black Featuring XXXTENTACION,Roll In Peace,1,47,45,20
2018-01-20,46,Marshmello Featuring Khalid,Silence,1,41,30,21
2018-01-20,47,MAX Featuring gnash,Lights Down Low,1,50,47,13
2018-01-20,48,Offset & Metro Boomin,Ric Flair Drip,1,49,44,10
2018-01-20,49,French Montana Featuring Swae Lee,Unforgettable,1,42,3,39
2018-01-20,50,N*E*R*D & Rihanna,Lemon,1,48,48,9
2018-01-20,51,Brett Young,Like I Loved You,1,46,46,15
2018-01-20,52,Russell Dickerson,Yours,1,52,52,12
2018-01-20,53,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,1,51,46,17
2018-01-20,54,Macklemore Featuring Kesha,Good Old Days,2,54,54,11
2018-01-20,55,Demi Lovato,Tell Me You Love Me,2,72,53,6
2018-01-20,56,Maren Morris,I Could Use A Love Song,2,62,56,20
2018-01-20,57,Eric Church,Round Here Buzz,1,57,57,15
2018-01-20,58,Kodak Black Featuring Lil Wayne,Codeine Dreaming,1,65,52,6
2018-01-20,59,Ozuna x Cardi B,La Modelo,1,61,52,3
2018-01-20,60,Luis Fonsi & Demi Lovato,Echame La Culpa,1,64,47,7
2018-01-20,61,LANCO,Greatest Love Story,1,53,45,18
2018-01-20,62,YBN Nahmir,Rubbin Off The Paint,1,60,46,9
2018-01-20,63,Chris Young,Losing Sleep,1,63,63,15
2018-01-20,64,Keala Settle & The Greatest Showman Ensemble,This Is Me,1,83,64,2
2018-01-20,65,Camila Cabello,Never Be The Same,2,71,65,3
2018-01-20,66,Blake Shelton,I'll Name The Dogs,1,56,56,17
2018-01-20,67,Post Malone,Candy Paint,1,59,50,11
2018-01-20,68,Walker Hayes,You Broke Up With Me,2,67,67,11
2018-01-20,69,Old Dominion,Written In The Sand,1,70,69,7
2018-01-20,70,Kane Brown,Heaven,2,82,70,3
2018-01-20,71,Famous Dex Featuring A$AP Rocky,Pick It Up,1,77,71,8
2018-01-20,72,Migos,Stir Fry,1,89,72,3
2018-01-20,73,6ix9ine,Kooda,1,68,50,5
2018-01-20,74,BTS Featuring Desiigner,MIC Drop,1,66,28,6
2018-01-20,75,YoungBoy Never Broke Again,No Smoke,2,73,73,5
2018-01-20,76,Lil Xan,Betrayed,1,76,67,8
2018-01-20,77,Scotty McCreery,Five More Minutes,1,78,77,5
2018-01-20,78,Zac Efron & Zendaya,Rewrite The Stars,1,85,78,2
2018-01-20,79,Quavo & Lil Yachty,Ice Tray,1,74,62,5
2018-01-20,80,Taylor Swift,...Ready For It?,1,58,4,18
2018-01-20,81,Devin Dawson,All On Me,3,87,81,6
2018-01-20,82,Liam Payne & Rita Ora,For You (Fifty Shades Freed),1,-,82,1
2018-01-20,83,Kelsea Ballerini,Legends,2,79,79,5
2018-01-20,84,WALK THE MOON,One Foot,1,80,80,2
2018-01-20,85,Lil Skies Featuring Landon Cube,Nowadays,1,-,85,1
2018-01-20,86,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Best Friend,1,100,86,2
2018-01-20,87,Lil Baby,My Dawg,1,84,77,4
2018-01-20,88,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,1,95,88,2
2018-01-20,89,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,2,75,75,5
2018-01-20,90,Maluma X Nego do Borel,Corazon,1,92,90,2
2018-01-20,91,Chris Stapleton,Broken Halos,4,91,91,7
2018-01-20,92,Clean Bandit Featuring Julia Michaels,I Miss You,1,-,92,1
2018-01-20,93,Niall Horan,Too Much To Ask,3,86,86,11
2018-01-20,94,Becky G Featuring Bad Bunny,Mayores,2,81,74,11
2018-01-20,95,P!nk,Beautiful Trauma,2,-,95,3
2018-01-20,96,Keith Urban,Female,2,93,93,3
2018-01-20,97,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,1,99,90,4
2018-01-20,98,Lil Skies Featuring Landon Cube,Red Roses,1,-,98,1
2018-01-20,99,Loren Allred,Never Enough,1,88,88,2
2018-01-20,100,Yo Gotti,Juice,1,90,90,5
2018-01-27,1,Camila Cabello Featuring Young Thug,Havana,2,2,1,22
2018-01-27,2,Ed Sheeran,Perfect,2,1,1,20
2018-01-27,3,Post Malone Featuring 21 Savage,Rockstar,1,4,1,17
2018-01-27,4,Bruno Mars & Cardi B,Finesse,1,3,3,3
2018-01-27,5,Halsey,Bad At Love,1,7,5,19
2018-01-27,6,Imagine Dragons,Thunder,1,6,4,37
2018-01-27,7,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,1,5,4,18
2018-01-27,8,Dua Lipa,New Rules,1,11,8,24
2018-01-27,9,Sam Smith,Too Good At Goodbyes,1,8,4,18
2018-01-27,10,"Migos, Nicki Minaj & Cardi B",MotorSport,1,10,6,11
2018-01-27,11,Lil Pump,Gucci Gang,1,12,3,18
2018-01-27,12,Kendrick Lamar Featuring Zacari,Love.,2,13,11,29
2018-01-27,13,6ix9ine,Gummo,1,19,12,9
2018-01-27,14,NF,Let You Down,1,15,14,13
2018-01-27,15,G-Eazy & Halsey,Him & I,1,16,15,6
2018-01-27,16,Cardi B Featuring 21 Savage,Bartier Cardi,1,14,14,4
2018-01-27,17,Bebe Rexha & Florida Georgia Line,Meant To Be,1,18,17,12
2018-01-27,18,Taylor Swift Featuring Ed Sheeran & Future,End Game,1,36,18,8
2018-01-27,19,Cardi B,Bodak Yellow (Money Moves),1,17,1,28
2018-01-27,20,Post Malone,I Fall Apart,1,26,16,16
2018-01-27,21,Ed Sheeran,Shape Of You,1,22,1,53
2018-01-27,22,Charlie Puth,How Long,1,23,22,14
2018-01-27,23,Portugal. The Man,Feel It Still,1,20,4,30
2018-01-27,24,Gucci Mane Featuring Migos,I Get The Bag,1,25,11,21
2018-01-27,25,Selena Gomez X Marshmello,Wolves,1,24,20,12
2018-01-27,26,Imagine Dragons,Believer,1,30,4,49
2018-01-27,27,A$AP Ferg Featuring Nicki Minaj,Plain Jane,1,29,27,16
2018-01-27,28,Demi Lovato,Sorry Not Sorry,1,21,6,27
2018-01-27,29,Justin Timberlake,Filthy,1,9,9,2
2018-01-27,30,Camila Cabello,Never Be The Same,2,65,30,4
2018-01-27,31,Maroon 5 Featuring SZA,What Lovers Do,1,27,9,20
2018-01-27,32,Khalid,Young Dumb & Broke,1,28,18,26
2018-01-27,33,Miguel Featuring Travis Scott,Sky Walker,2,31,31,16
2018-01-27,34,Eminem Featuring Ed Sheeran,River,1,32,32,7
2018-01-27,35,Thomas Rhett,Marry Me,1,39,35,6
2018-01-27,36,Kodak Black Featuring XXXTENTACION,Roll In Peace,1,45,36,21
2018-01-27,37,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,1,33,24,20
2018-01-27,38,21 Savage,Bank Account,1,37,12,27
2018-01-27,39,J Balvin & Willy William Featuring Beyonce,Mi Gente,1,35,3,28
2018-01-27,40,N*E*R*D & Rihanna,Lemon,1,50,40,10
2018-01-27,41,MAX Featuring gnash,Lights Down Low,1,47,41,14
2018-01-27,42,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,2,40,40,16
2018-01-27,43,Offset & Metro Boomin,Ric Flair Drip,1,48,43,11
2018-01-27,44,Charlie Puth,Attention,1,41,5,38
2018-01-27,45,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,1,44,3,37
2018-01-27,46,SZA,The Weekend,1,42,33,24
2018-01-27,47,Carrie Underwood Featuring Ludacris,The Champion,1,-,47,1
2018-01-27,48,French Montana Featuring Swae Lee,Unforgettable,1,49,3,40
2018-01-27,49,Russell Dickerson,Yours,1,52,49,13
2018-01-27,50,Marshmello Featuring Khalid,Silence,1,46,30,22
2018-01-27,51,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,1,53,46,18
2018-01-27,52,Brett Young,Like I Loved You,1,51,46,16
2018-01-27,53,Kendrick Lamar & SZA,All The Stars,1,43,43,2
2018-01-27,54,Macklemore Featuring Kesha,Good Old Days,2,54,54,12
2018-01-27,55,Lil Skies Featuring Landon Cube,Nowadays,1,85,55,2
2018-01-27,56,Eric Church,Round Here Buzz,1,57,56,16
2018-01-27,57,Luis Fonsi & Demi Lovato,Echame La Culpa,1,60,47,8
2018-01-27,58,Keala Settle & The Greatest Showman Ensemble,This Is Me,1,64,58,3
2018-01-27,59,Old Dominion,Written In The Sand,1,69,59,8
2018-01-27,60,Migos,Stir Fry,1,72,60,4
2018-01-27,61,Chris Young,Losing Sleep,1,63,61,16
2018-01-27,62,YBN Nahmir,Rubbin Off The Paint,1,62,46,10
2018-01-27,63,Kodak Black Featuring Lil Wayne,Codeine Dreaming,1,58,52,7
2018-01-27,64,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,1,-,64,1
2018-01-27,65,LANCO,Greatest Love Story,1,61,45,19
2018-01-27,66,Famous Dex Featuring A$AP Rocky,Pick It Up,1,71,66,9
2018-01-27,67,Ozuna x Cardi B,La Modelo,1,59,52,4
2018-01-27,68,Walker Hayes,You Broke Up With Me,2,68,67,12
2018-01-27,69,Lil Skies Featuring Landon Cube,Red Roses,1,98,69,2
2018-01-27,70,Zac Efron & Zendaya,Rewrite The Stars,1,78,70,3
2018-01-27,71,YoungBoy Never Broke Again,Outside Today,1,-,71,1
2018-01-27,72,Demi Lovato,Tell Me You Love Me,2,55,53,7
2018-01-27,73,6ix9ine,Kooda,1,73,50,6
2018-01-27,74,Post Malone,Candy Paint,1,67,50,12
2018-01-27,75,Lil Xan,Betrayed,1,76,67,9
2018-01-27,76,Kane Brown,Heaven,2,70,70,4
2018-01-27,77,WALK THE MOON,One Foot,1,84,77,3
2018-01-27,78,YoungBoy Never Broke Again,No Smoke,2,75,73,6
